name,latin,family,status,source,tradition,search_key,systems,properties
Plantain,Plantago species,Plantaginaceae (Plantain family),insufficient_data,materia-medica-github,Western Herbalism,plantain,"immune, digestive","Astringent, Vulnerary, Mucostatic (upper respiratory), Mucous membrane strengthening, Expectorant, Emollient, Healing, Mucolytic"
Pleurisy Root,Asclepias tuberosa,Apocynaceae (Dogbane family),insufficient_data,materia-medica-github,Western Herbalism,pleurisyroot,"respiratory, skin",Bronchial spasmolytic
Prickly Ash,Zanthoxylum americanum,Rutaceae (Rue family),insufficient_data,materia-medica-github,Western Herbalism,pricklyash,cardiovascular,"Antirheumatic, Analgesic"
Propolis,Propolis,Apidae (Bee product),insufficient_data,materia-medica-github,Western Herbalism,propolis,"immune, skin","Antibacterial, Antimicrobial, Antioxidant, Antiviral (internal), Immunomodulating, Vulnerary, Anti-inflammatory (external), Antiviral (external), Healing, Analgesic (pain relief), Antifungal"
Psyllium,Plantago psyllium,Plantaginaceae (Plantain family),insufficient_data,materia-medica-github,Western Herbalism,psyllium,respiratory,Emollient
Pumpkin Seeds,Cucurbita pepo,Cucurbitaceae (Gourd family),insufficient_data,materia-medica-github,Western Herbalism,pumpkinseeds,"male-reproductive, urinary","Male tonic, Anti-inflammatory (prostate), Nutritive"
Purple Willow,Salix purpurea,Salicaceae (Willow family),insufficient_data,materia-medica-github,Western Herbalism,purplewillow,cardiovascular,"Analgesic, Anti-inflammatory (general), Antipyretic, Anti-inflammatory (musculoskeletal), Anti-inflammatory (female reproductive)"
Raspberry Leaf,Rubus idaeus,Rosaceae (Rose family),insufficient_data,materia-medica-github,Western Herbalism,raspberryleaf,woman-reproductive,"Astringent, Emmenagogue, Uterine contracting, Galactagogue, Anti-inflammatory (female reproductive)"
Red Clover,Trifolium pratense,Fabaceae (Legume family),insufficient_data,materia-medica-github,Western Herbalism,redclover,"woman-reproductive, digestive, endocrine","Anticancer preventive, Antidepressant, Sedative, Blood purifier, Woman tonic, Diuretic, Estrogen regulating, Anti-inflammatory (female reproductive)"
Rehmannia,Rehmannia glutinosa,Orobanchaceae (Broomrape family),insufficient_data,materia-medica-github,Western Herbalism,rehmannia,"woman-reproductive, endocrine","Adrenal tonic, Blood strengthening, Kidney tonic, Adaptogen, Anti-inflammatory (musculoskeletal), Interferon stimulating"
Reishi Mushroom,Ganoderma lucidum,Ganodermataceae (Mushroom),insufficient_data,materia-medica-github,Western Herbalism,reishimushroom,"immune, respiratory, nervous, endocrine","Adaptogen, Aldose reductase inhibitor, Antiallergic, Antibacterial, Anticancer preventive, Antidepressant, Anti-inflammatory (general), Anti-inflammatory (respiratory), Anti-inflammatory (digestive/mucous membranes/skin), Antimicrobial, Antioxidant, Antiviral (internal), Blood pressure regulating, Blood pressure lowering, Bronchial spasmolytic, Choleretic, Cholesterol lowering, Immunomodulating, Hepatoprotective, Mucous membrane strengthening, Mucous membrane tonic, Mucostatic (lower respiratory), Nerve tonic, Tonic, Vasodilator, Mucostatic (upper respiratory)"
Rhodiola,Rhodiola rosea,Crassulaceae (Stonecrop family),insufficient_data,materia-medica-github,Western Herbalism,rhodiola,"nervous, immune, cardiovascular, endocrine","Adaptogen, Adrenal tonic, Antidepressant, Antioxidant, Cardioprotective, Immunomodulating, Nerve tonic, Aphrodisiac, Metabolism raising, Woman tonic, Nootropic"
Rosemary,Rosmarinus officinalis,Lamiaceae (Mint family),insufficient_data,materia-medica-github,Western Herbalism,rosemary,"nervous, digestive, cardiovascular","Antibacterial, Antioxidant, Carminative, Circulatory stimulant, Hepatoprotective, Nootropic, Analgesic, Antifungal, Antimicrobial, Antispasmodic"
Sage,Salvia officinalis,Lamiaceae (Mint family),insufficient_data,materia-medica-github,Western Herbalism,sage,"digestive, respiratory, endocrine","Antibacterial, Anti-inflammatory (respiratory), Anti-inflammatory (digestive/mucous membranes/skin), Antimicrobial, Antioxidant, Astringent, Carminative, Choleretic, Vulnerary, Anhidrotic, Mucostatic (lower respiratory), Mucostatic (upper respiratory), Antispasmodic, Galactofuge, Estrogen regulating, Antifungal, Antiarrhythmic, Connective tissue strengthening, Vasodilator, Blood pressure regulating, Fibrinolytic, Healing, Cardioprotective, Heart tonic, Kidney tonic"
Sarsaparilla,Smilax medica,Smilacaceae (Greenbrier family),insufficient_data,materia-medica-github,Western Herbalism,sarsaparilla,male-reproductive,"Anti-inflammatory (musculoskeletal), Antirheumatic, Antipruritic (external), Blood purifier, Male tonic, Anti-inflammatory (general)"
Sassafras,Sassafras albidum,Lauraceae (Laurel family),insufficient_data,materia-medica-github,Western Herbalism,sassafras,"digestive, male-reproductive","Blood purifier, Diaphoretic"
Saw Palmetto,Serenoa repens,Arecaceae (Palm family),insufficient_data,materia-medica-github,Western Herbalism,sawpalmetto,"male-reproductive, urinary","Anti-inflammatory (prostate), Antispasmodic, Anti-inflammatory (urinary), Male tonic, Prostate growth inhibiting, Anti-inflammatory (general)"
Schisandra,Schisandra chinensis,Schisandraceae (Schisandra family),insufficient_data,materia-medica-github,Western Herbalism,schisandra,"immune, nervous, respiratory, endocrine","Adaptogen, Aldose reductase inhibitor, Antidepressant, Anti-inflammatory (liver), Antioxidant, Astringent, Expectorant, Hepatoprotective, Kidney tonic, Nerve tonic, Nootropic, Uterine contracting, Galactagogue, Tonic"
Shepherd's Purse,Capsella bursa-pastoris,Brassicaceae (Mustard family),insufficient_data,materia-medica-github,Western Herbalism,shepherd'spurse,woman-reproductive,"Astringent, Hemostatic, Uterine contracting, Antiseptic (urinary), Blood pressure regulating"
Shiitake Mushroom,Lentinula edodes,Marasmiaceae (Mushroom),insufficient_data,materia-medica-github,Western Herbalism,shiitakemushroom,immune,"Immunomodulating, Anticancer preventive, Cholesterol lowering, Antiviral"
Siberian Ginseng,Eleutherococcus senticosus,Araliaceae (Ginseng family),insufficient_data,materia-medica-github,Western Herbalism,siberianginseng,"male-reproductive, nervous, immune, endocrine","Adaptogen, Metabolism raising, Adrenal tonic, Blood sugar regulating, Blood pressure regulating, Antifungal, Immunomodulating, Interferon stimulating, Tonic"
Skullcap,Scutellaria lateriflora,Lamiaceae (Mint family),insufficient_data,materia-medica-github,Western Herbalism,skullcap,nervous,"Sedative, Antispasmodic, Nerve tonic"
Slippery Elm,Ulmus fulva,Ulmaceae (Elm family),insufficient_data,materia-medica-github,Western Herbalism,slipperyelm,respiratory,"Anti-inflammatory (respiratory), Anti-inflammatory (digestive/mucous membranes/skin), Anti-ulcer, Emollient, Vulnerary, Cholesterol lowering, Laxative, Mucous membrane strengthening, Mucous membrane tonic, Antacid, Weight reducing, Healing"
St. John's Wort,Hypericum perforatum,Hypericaceae (St. John's Wort family),insufficient_data,materia-medica-github,Western Herbalism,st.john'swort,"nervous, skin","Antidepressant, Anti-inflammatory (external), Antiviral (internal), Antiviral (external), Vulnerary, Nerve tonic, Analgesic, Antifungal, Healing"
Sweet Violet,Viola odoratar,Violaceae (Violet family),insufficient_data,materia-medica-github,Western Herbalism,sweetviolet,"respiratory, skin","Anti-inflammatory (respiratory), Expectorant, Lymphatic stimulant, Blood purifier"
Tea Tree,Melaleuca alternafolia,Myrtaceae (Myrtle family),insufficient_data,materia-medica-github,Western Herbalism,teatree,immune,"Antibacterial, Antimicrobial, Antifungal"
Thuja,Thuja officinalis,Cupressaceae (Cypress family),insufficient_data,materia-medica-github,Western Herbalism,thuja,"immune, respiratory","Antimicrobial, Antiviral (external), Diuretic, Expectorant"
Thyme,Thymus vulgaris,Lamiaceae (Mint family),insufficient_data,materia-medica-github,Western Herbalism,thyme,"respiratory, digestive, immune","Antiallergic, Antibacterial, Anti-inflammatory (respiratory), Anti-inflammatory (urinary), Antimicrobial, Antioxidant, Anti-ulcer, Astringent, Bitter tonic, Bronchial spasmolytic, Expectorant, Antifungal, Mucolytic"
Tree Peony,Paeonia suffructicosa,Paeoniaceae (Peony family),insufficient_data,materia-medica-github,Western Herbalism,treepeony,"woman-reproductive, immune","Anti-inflammatory (general), Blood purifier, Blood pressure regulating, Blood pressure lowering"
Turkey Rhubarb,Rheum palmatum,Polygonaceae (Buckwheat family),insufficient_data,materia-medica-github,Western Herbalism,turkeyrhubarb,digestive,"Laxative, Bitter tonic, Astringent, Hemostatic, Kidney tonic, Choleretic, Anti-inflammatory (digestive/mucous membranes/skin)"
Turmeric,Curcuma longa,Zingiberaceae (Ginger family),insufficient_data,materia-medica-github,Western Herbalism,turmeric,"digestive, cardiovascular, immune, skin, endocrine","Anticancer preventive, Anti-inflammatory (general), Anti-inflammatory (musculoskeletal), Anti-inflammatory (brain), Anti-inflammatory (cardiovascular), Anti-inflammatory (liver), Anticoagulant, Antioxidant, Antirheumatic, Blood purifier, Blood sugar regulating, Choleretic, Cholesterol lowering, Fibrinolytic, Hepatoprotective, Analgesic, Antifungal, Cholagogue"
Uva Ursi,Arctostaphylos uva-ursi,Ericaceae (Heath family),insufficient_data,materia-medica-github,Western Herbalism,uvaursi,"urinary, skin","Urinary antiseptic, Astringent, Antiseptic (urinary)"
Valerian,Valeriana officinalis,Caprifoliaceae (Honeysuckle family),insufficient_data,materia-medica-github,Western Herbalism,valerian,nervous,"Sedative, Blood pressure regulating, Blood pressure lowering, Hypnotic, Anticonvulsant (epilepsy), Antispasmodic, Nerve tonic, Analgesic"
Vervain,Verbena officinalis,Verbenaceae (Verbena family),insufficient_data,materia-medica-github,Western Herbalism,vervain,"nervous, digestive","Antispasmodic, Bitter tonic, Nerve tonic, Sedative, Antidepressant, Astringent, Choleretic, Diaphoretic"
White Peony,Paeonia lactiflora,Paeoniaceae (Peony family),insufficient_data,materia-medica-github,Western Herbalism,whitepeony,"woman-reproductive, immune","Analgesic, Anti-inflammatory (general), Antispasmodic, Blood strengthening, Woman tonic, Anti-inflammatory (female reproductive), Anticonvulsant (epilepsy), Emmenagogue, Estrogen regulating"
White Willow,Salix alba,Salicaceae (Willow family),insufficient_data,materia-medica-github,Western Herbalism,whitewillow,"cardiovascular, digestive","Analgesic, Anti-inflammatory (general), Antirheumatic, Antipyretic, Astringent, Anti-inflammatory (musculoskeletal), Anti-inflammatory (female reproductive)"
Wild Cherry,Prunus serotina,Rosaceae (Rose family),insufficient_data,materia-medica-github,Western Herbalism,wildcherry,respiratory,"Antitussive, Astringent, Bronchial spasmolytic, Expectorant, Sedative"
Wild Yam,Dioscorea villosa,Dioscoreaceae (Yam family),insufficient_data,materia-medica-github,Western Herbalism,wildyam,"woman-reproductive, male-reproductive, immune","Anti-inflammatory (general), Anti-inflammatory (female reproductive), Sedative, Antispasmodic, Antirheumatic, Anti-inflammatory (digestive/mucous membranes/skin), Emmenagogue, Analgesic (pain relief), Estrogen regulating"
Witch Hazel,Hamamelis virginiana,Hamamelidaceae (Witch-hazel family),insufficient_data,materia-medica-github,Western Herbalism,witchhazel,"cardiovascular, digestive","Anti-inflammatory (digestive/mucous membranes/skin), Astringent, Hemostatic, Venotonic, Analgesic"
Wood Betony,Betonica officinalis,Lamiaceae (Mint family),insufficient_data,materia-medica-github,Western Herbalism,woodbetony,nervous,
Wormwood,Artemisia absinthium,Asteraceae (Daisy family),insufficient_data,materia-medica-github,Western Herbalism,wormwood,digestive,"Bitter tonic, Antiparasitic"
Yarrow,Achillea millefolium,Asteraceae (Daisy family),insufficient_data,materia-medica-github,Western Herbalism,yarrow,"digestive, cardiovascular","Analgesic, Anti-inflammatory (general), Astringent, Bitter tonic, Hemostatic, Vasodilator, Choleretic, Circulatory stimulant, Antifungal, Antispasmodic, Diaphoretic, Blood pressure regulating, Cholagogue, Healing, Emmenagogue"
Yellow Dock,Rumex crispus and related species,Polygonaceae (Buckwheat family),insufficient_data,materia-medica-github,Western Herbalism,yellowdock,digestive,"Blood purifier, Choleretic, Laxative"
